id,username,type,graduation_date,cgpa,entryyear,entrytype,left_date
1841,N21132549,9,NULL,NULL,2021,1,NULL
1842,N21132693,9,NULL,NULL,2021,1,NULL
1843,N21134312,9,NULL,NULL,2021,1,NULL
1844,N21134437,9,NULL,NULL,2021,1,NULL
1845,N21135116,9,NULL,NULL,2021,1,NULL
1846,N21135158,9,NULL,NULL,2021,1,NULL
1847,N21135855,9,NULL,NULL,2021,1,NULL
1848,N21136000,9,NULL,NULL,2021,1,NULL
1849,N21136153,9,NULL,NULL,2021,1,NULL
1850,N21136352,9,NULL,NULL,2021,1,NULL
1851,N21136386,9,NULL,NULL,2021,1,NULL
1852,N21136606,9,NULL,NULL,2021,1,NULL
1853,N21136614,9,NULL,NULL,2021,1,NULL
1854,N21136839,9,NULL,NULL,2021,1,NULL
1855,N21137000,9,NULL,NULL,2021,1,NULL
1856,N21137258,9,NULL,NULL,2021,1,NULL
1857,N21137724,9,NULL,NULL,2021,1,NULL
1858,N21138051,9,NULL,NULL,2021,1,NULL
1859,N21138149,9,NULL,NULL,2021,1,NULL
1860,N21138506,9,NULL,NULL,2021,1,NULL
1861,N21139458,9,NULL,NULL,2021,1,NULL
1862,N21139726,9,NULL,NULL,2021,1,NULL
1863,N21139958,9,NULL,NULL,2021,1,NULL
1864,N21230856,9,NULL,NULL,2022,1,NULL
1865,N21231303,9,NULL,NULL,2022,1,NULL
1866,N21231981,9,NULL,NULL,2022,1,NULL
1867,N21232006,9,NULL,NULL,2022,1,NULL
1868,N21233001,9,NULL,NULL,2022,1,NULL
1869,N21233421,9,NULL,NULL,2022,1,NULL
1870,N21233616,9,NULL,NULL,2022,1,NULL
1871,N21233712,9,NULL,NULL,2022,1,NULL
1872,N21234091,9,NULL,NULL,2022,1,NULL
1873,N21234597,9,NULL,NULL,2022,1,NULL
1874,N21235193,9,NULL,NULL,2022,1,NULL
1875,N21235531,9,NULL,NULL,2022,1,NULL
1876,N21235567,9,NULL,NULL,2022,1,NULL
1877,N21235988,9,NULL,NULL,2022,1,NULL
1878,N21236829,9,NULL,NULL,2022,1,NULL
1879,N21236893,9,NULL,NULL,2022,1,NULL
1880,N21237676,9,NULL,NULL,2022,1,NULL
1881,N21238857,9,NULL,NULL,2022,1,NULL
1882,N21238936,9,NULL,NULL,2022,1,NULL
1883,N21130233,6,NULL,NULL,2021,1,NULL
1884,N21130692,6,NULL,NULL,2021,1,NULL
1885,N21130847,6,NULL,NULL,2021,1,NULL
1886,N21131204,6,NULL,NULL,2021,1,NULL
1887,N21131901,6,NULL,NULL,2021,1,NULL
1889,N21132335,6,NULL,NULL,2021,1,NULL
1890,N21132467,6,NULL,NULL,2021,1,NULL
1891,N21132499,6,NULL,NULL,2021,1,NULL
1892,N21132859,6,NULL,NULL,2021,1,NULL
1893,N21133546,6,NULL,NULL,2021,1,NULL
1894,N21133735,6,NULL,NULL,2021,1,NULL
1895,N21133832,6,NULL,NULL,2021,1,NULL
1896,N21133893,6,NULL,NULL,2021,1,NULL
